district,distance_to_nubank,safety,walkability,traffic,rent_price,buy_price,green_spaces,nightlife,family_friendly,public_transport,notes,healthcare
JABAQUARA,4,5,6,6,7,7,5,4,7,8,Jabaquara (L1 terminus). Moderate crime. Commercial areas around the bus/metro terminal have higher occurrence rates.,6
VILA MARIANA,6,8,9,5,5,5,7,6,7,9,Ana Rosa + Paraíso (L1+L2 interchange) nearby. Solid safety profile. Busy but not as dense as central SP.,7
BELENZINHO,5,6,6,6,7,7,5,5,6,7,Belenzinho (L3). Higher robbery rates than west-zone equivalents. Improving but still above average for street crime.,8
TATUAPÉ,4,6,8,6,6,6,5,6,7,8,Tatuapé (L3). East zone commercial hub. Busier streets have moderate theft rates. Residential streets calmer.,6
MOOCA,5,6,7,6,6,6,5,5,7,7,Bresser-Mooca (L3). Gentrification in progress. Crime rates declining but elevated vs west-zone equivalents at similar price points.,8
BRÁS,4,3,7,5,7,7,4,6,5,9,Among SP's highest phone robbery concentrations. Wholesale district + major transit hub (L3+CPTM) = very high-risk pedestrian zone.,6
BOM RETIRO,5,5,8,5,7,7,4,6,5,8,Fashion district. Elevated street robbery. Proximity to Luz station complex (historically high crime) drags safety score down.,4
SANTANA,4,5,7,6,6,6,5,5,7,8,Santana (L1) + Carandiru. Northern residential hub. Moderate safety. calmer than downtown. Good metro access.,1
TUCURUVI,3,8,6,6,7,7,4,4,7,7,Tucuruvi (L1 northern terminus). Community feel. lower crime than downtown. Long commute to Pinheiros is the main trade-off.,4
VILA GUILHERME,3,7,6,6,7,7,4,4,6,6,Northern zone. Moderate risk. Industrial corridor nearby affects some areas. Residential blocks reasonably calm. Far from Nubank.,6
CASA VERDE,3,8,6,6,7,7,5,4,7,6,Northern residential. Lower crime than downtown equivalents. Community-oriented streets. Long commute is the main limitation.,5
BUTANTÃ,6,6,7,6,6,6,6,5,7,8,Butantã (L4 Yellow — direct to Oscar Freire/Nubank). USP campus community. Moderate safety; areas near campus periphery have higher risk.,5
MORUMBI,5,5,7,5,4,4,8,5,8,8,Highly uneven: gated condos vs areas bordering Paraisópolis favela. São Paulo-Morumbi (L4 Yellow) gives direct access to Oscar Freire/Nubank. Average masks very wide safety and quality-of-life variance.,10
SÉ,5,2,7,3,9,8,5,6,3,10,Sé station (L1+L3 major interchange). Historic center with highest pedestrian crime in SP. Excellent transit; very poor safety and family profile.,5
ÁGUA RASA,4,7,6,5,7,7,5,4,7,6,East-zone middle-class residential. Calm streets. Near bus corridors connecting to L3 (Tatuapé/Carrão). Affordable and stable.,3
ARICANDUVA,3,8,5,4,8,8,7,3,7,5,East zone adjacent to Parque Aricanduva. Good green space. Av. Aricanduva is heavily congested. Working-class residential feel.,4
ARTUR ALVIM,2,6,5,5,9,9,4,3,6,7,Artur Alvim (L3). Far east but metro-connected. Very affordable. Long commute to Nubank despite direct metro line.,4
BELÉM,4,6,6,5,8,8,4,4,6,7,Belém (L3). East-zone traditional neighborhood between Brás and Mooca. Moderate crime profile; improving slowly.,6
BRASILÂNDIA,2,4,4,6,10,10,5,3,5,4,Far northern periphery. Very affordable but limited urban infrastructure and significant safety challenges. No metro. bus-dependent.,6
CACHOEIRINHA,3,4,5,5,8,8,5,3,7,5,North-zone residential. Working-class with decent community infrastructure. Bus-dependent; moderate commute.,4
CAMPO GRANDE,3,6,6,5,7,7,5,4,7,6,South-zone commercial hub. Shopping malls and services. Reasonable bus connectivity but car-dependent for many trips.,1
CAMPO LIMPO,3,4,5,5,8,8,5,3,6,7,Campo Limpo (L5). Working-class south zone. Metro Line 5 provides connectivity south but commute to Nubank involves transfers.,9
CANGAÍBA,2,5,5,5,9,9,5,3,6,5,Far east zone residential. Very limited urban amenities. Bus-dependent with long commute to Nubank.,5
CAPÃO REDONDO,2,4,5,5,9,9,5,3,5,7,Capão Redondo (L5 southern terminus). Metro access helps but still a very long commute. Some safety concerns in peripheral streets.,9
CARRÃO,3,5,6,5,8,8,5,4,7,6,East-zone traditional residential. Stable working-class neighborhood. Near bus corridors. Calmer than commercial east-zone strips.,3
CIDADE ADEMAR,2,5,4,6,9,9,5,3,6,4,Southern zone. Mostly bus-dependent. Very far from Nubank. Affordable but a significant daily commute.,5
CIDADE DUTRA,2,6,4,5,9,9,6,3,6,5,Southern zone near Interlagos. Some green space near the racetrack. Long commute and limited urban services.,7
CIDADE LÍDER,1,6,5,5,9,9,5,3,6,6,East zone near Itaquera (L3). Very far from Nubank. Metro accessible but at the extreme end of the commute.,1
CIDADE TIRADENTES,1,4,4,6,10,10,4,2,5,5,Extreme eastern periphery. Largest social housing complex in Latin America. Very far from Nubank. Significant infrastructure gaps.,6
CURSINO,4,7,6,5,7,7,6,4,7,6,South zone near Ipiranga. Quiet residential. CPTM access and bus corridors. Moderate commute. Stable neighborhood.,6
ERMELINO MATARAZZO,1,5,5,5,9,9,4,3,6,5,Far eastern periphery. Very affordable but extremely long commute to Nubank and limited urban amenities.,6
FREGUESIA DO Ó,4,6,6,5,7,7,6,4,6,5,North zone with some local commerce. Some proximity to Parque Estadual Anhanguera. Moderate connectivity. mostly bus-dependent.,7
GRAJAÚ,2,5,5,5,9,9,8,3,5,4,Far southern zone near Guarapiranga reservoir. Beautiful green surroundings but very far from Nubank with limited transit.,8
IGUATEMI,1,5,4,6,10,10,4,2,6,4,Far eastern periphery. Very limited urban infrastructure. Not practical for daily Nubank commute.,4
IPIRANGA,4,8,6,5,7,7,7,5,7,7,Historic neighborhood with Parque da Independência. CPTM access. Gentrification underway. Moderate commute to Nubank.,3
ITAIM PAULISTA,1,5,5,5,10,10,4,3,5,5,Far eastern periphery. Extremely affordable but poor infrastructure and very long commute.,6
ITAQUERA,1,5,5,5,9,9,6,3,6,7,Itaquera (L3 terminus) + Arena Corinthians nearby. Metro-connected but commute to Pinheiros is 50+ minutes.,2
JAÇANÃ,3,4,5,5,8,8,8,3,7,5,Northern zone near Serra da Cantareira. Quiet residential. good green space. Bus-dependent with moderate commute.,5
JAGUARA,5,6,4,4,8,8,4,3,6,5,West-zone industrial district near Marginal Tietê. Limited walkability. Some residential pockets. Budget-friendly with decent connectivity.,7
JAGUARÉ,6,6,5,5,7,7,8,4,7,6,West-zone residential near Parque Villa-Lobos. CPTM L9. Green surroundings. Moderate commute. Quiet neighborhood.,6
JARAGUÁ,2,5,4,6,9,9,8,3,6,4,Far northwest near Pico do Jaraguá. Natural beauty nearby but very car-dependent and long commute to Nubank.,6
JARDIM ÂNGELA,1,4,4,6,10,10,6,2,4,3,Historically one of SP's most dangerous districts. Significant improvement since peak crime years but still elevated. Very far from Nubank.,9
JARDIM HELENA,1,5,4,6,10,10,4,2,5,4,Far eastern periphery. Very affordable but poor infrastructure and very long commute. Limited bus coverage.,4
JARDIM SÃO LUÍS,2,4,4,6,9,9,5,3,5,5,Southern periphery near Campo Limpo (L5). Affordable but significant infrastructure gaps and long commute to Nubank.,9
JOSÉ BONIFÁCIO,1,4,5,5,9,9,5,3,6,6,Far east near Itaquera. Bus corridors and some metro access. Very affordable; very long commute.,4
LAJEADO,1,4,4,6,10,10,4,2,5,4,Eastern periphery. Very poor urban infrastructure. Extreme commute and safety concerns. Not recommended for Nubank relocation.,6
LIMÃO,4,7,5,5,8,8,5,4,7,5,Northern zone residential. Affordable and stable. Bus-dependent with moderate commute. Near Casa Verde.,6
MANDAQUI,4,7,6,5,8,8,7,4,8,6,Northern zone. Quiet residential with genuinely good safety profile. Proximity to Cantareira provides green space. Family-friendly.,3
MARSILAC,1,4,2,9,10,10,10,1,5,1,Southernmost district — almost entirely within environmental protection zone. No meaningful urban infrastructure. Completely impractical for Nubank commute.,10
PARELHEIROS,1,4,3,8,10,10,9,2,5,2,Rural far-south district in environmental protection area. No viable commute to Nubank. Not suitable for relocation.,8
PARI,5,5,6,4,9,9,3,4,4,7,Small industrial district adjacent to Brás wholesale hub. Near Brás metro/CPTM (L3+CPTM). High pedestrian crime from Brás spills over.,7
PARQUE DO CARMO,2,5,5,5,9,9,9,3,7,6,East zone centered on Parque do Carmo — one of SP's largest parks. Good green space. Long commute to Nubank is the key constraint.,6
PEDREIRA,2,4,4,6,9,9,5,3,5,4,Southern zone. Limited urban infrastructure. Affordable but car-dependent and far from Nubank.,6
PENHA,3,5,7,5,7,7,5,5,7,7,Penha (L3). East-zone commercial hub with good local services. Traditional neighborhood. Moderate commute to Nubank.,3
PERUS,2,5,4,6,9,9,7,3,6,6,Far northwest. CPTM L7 access. Near Parque Anhanguera. Very affordable but long commute and limited urban infrastructure.,6
ANHANGUERA,1,3,3,7,10,10,7,2,5,3,SP's northernmost district. Industrial and logistics zone near Anhanguera highway. No viable daily commute to Nubank.,7
PIRITUBA,3,5,5,5,8,8,6,3,6,6,Northwest zone. CPTM L7 (Pirituba station). Mostly residential with some industrial. Moderate commute. Affordable.,5
PONTE RASA,2,7,5,5,9,9,4,3,6,5,East zone residential near Ermelino Matarazzo. Affordable but limited amenities and long commute.,7
RAPOSO TAVARES,4,4,4,5,8,8,6,3,6,5,West-zone residential near Raposo Tavares highway. Car-dependent. Some bus coverage. Affordable option in the west.,9
RIO PEQUENO,5,4,5,5,7,7,5,4,6,5,West zone between Lapa and Butantã. Moderate connectivity via bus. Some USP student presence nearby. Reasonable value.,9
SACOMÃ,4,4,5,5,8,8,5,4,6,6,South zone (Ipiranga subprefecture). CPTM access. Moderate crime profile. Improving infrastructure but still transitional.,3
SÃO DOMINGOS,3,5,5,5,8,8,5,3,7,5,Northwest residential near Pirituba/CPTM. Quiet and affordable. Limited nightlife and urban amenities.,7
SÃO MATEUS,2,5,5,5,9,9,5,3,6,5,Far east zone. Bus corridors provide connectivity but commute to Nubank is very long. Affordable working-class area.,2
SÃO MIGUEL,1,4,5,5,9,9,4,3,5,6,São Miguel Paulista (L3). Far eastern zone with some safety concerns. Very long commute despite metro access.,5
SÃO RAFAEL,1,6,4,6,10,10,4,2,5,4,Far eastern periphery. Very affordable but minimal infrastructure and extreme commute. Not suitable for relocation.,4
SAPOPEMBA,2,4,5,5,9,9,5,3,6,5,East zone residential. Affordable but limited amenities. Improving slowly. Long commute to Nubank.,4
SOCORRO,2,7,4,6,9,9,7,3,6,5,Far southern zone near Guarapiranga. Some water recreational options. Long commute and limited urban services.,6
TREMEMBÉ,3,5,5,5,8,8,8,3,7,5,Northern zone near Serra da Cantareira. Quiet residential. Excellent green space proximity. Family-friendly but long commute.,5
VILA ANDRADE,4,4,6,5,6,6,7,5,7,6,South zone near Parque Burle Marx and Morumbi. Growing upscale residential area with malls. Moderate transit options.,9
VILA CURUÇÁ,1,6,5,5,10,10,4,3,5,5,Far eastern periphery. Extremely affordable but poor infrastructure and impractical Nubank commute.,6
VILA FORMOSA,3,6,6,5,7,7,5,4,7,6,East-zone traditional residential near Aricanduva. Calm neighborhood. Some local commerce on Av. Aricanduva. Moderate commute.,4
VILA JACUÍ,2,5,4,6,9,9,5,3,5,5,Far northern periphery. Limited infrastructure. Affordable but not practical for Nubank commute.,6
VILA MARIA,3,5,6,5,8,8,5,4,7,6,Northern residential. Vila Maria station (CPTM L11/L12). Stable working-class neighborhood with moderate commute.,7
VILA MATILDE,3,6,6,5,7,7,5,4,7,7,Vila Matilde (L3). East-zone residential with direct metro. Moderate commute to Nubank. Stable and affordable.,4
VILA MEDEIROS,3,4,5,5,8,8,5,3,7,5,North zone residential. Quiet. Limited urban amenities. Moderate commute. Good family environment.,7
VILA PRUDENTE,4,7,6,5,7,7,6,5,7,8,Vila Prudente (L2 eastern terminus). Direct Line 2 to Consolação/Pinheiros direction — one of the best transit values in the east zone. Gentrifying.,5
VILA SÔNIA,5,5,6,5,7,7,6,5,7,8,Vila Sônia (L4 Yellow — direct line to Oscar Freire/Nubank via L4). Underrated western residential with the most direct metro link to Nubank outside Pinheiros itself.,10
SÃO LUCAS,4,5,6,5,7,7,7,4,7,7,East-zone residential in Vila Prudente subprefecture. Borders Ipiranga and Parque do Estado (large green area nearby). Near Vila Prudente (L2) for direct access to Consolação/Pinheiros direction. Quiet working-class neighborhood with improving infrastructure.,5
GUAIANASES,1,4,5,6,10,10,4,2,6,7,Eastern terminus of L3 (alternate spelling used in some GeoJSON sources). Very affordable. metro-connected but commute to Nubank exceeds one hour. Not practical for daily in-office work.,6
